username,comment,
@udincarnudin1205,"Terima kasih banyak Pak Mahfud. Ilmu dan pencerahan yg sgt luar biasa. Kuliah gratis yg sarat pesan etika dan moral.
Seandainya para pemimpin dan pejabat di RI ini spt Pak Mahfud, negeri ini akan beres, maju dan sejahtera.
Semoga selalu sehat dan diberkahi.",
@hidamn,"Menurut saya ada 2 cara untuk memperbaiki kondisi negara ini, kuncinya ada di penegakan hukum. Celakanya saat ini penegak hukum pun ternyata jadi anjing-anjing dari orang-orang pemerintahan, serta hukum dan undang-undang juga produk dari orang-orang pemerintahan.
 Cara ke dua yang paling efektif tentu saja Revolusi.",
@MadjiJi-o7n,Lanjutkan pidcasnya p Mahfud sy suka sekali terus terang yg selama ini kami TDK tau isi dalamnya oemerintahan,
@zgchanel8504,"Kunci nya 1... Gaji Anggota DPR samakan saja dgn buruh, tunjangan di samakan juga dgn buruh. Dengan di samaratakan nya pasti yg mau nyalon jadi DPR pasti mikir2.. dan mudah2an yg masih berminat menjadi anggota DPR adalah orang yg benar2 mewakili rakyat sepenuh nya. Kalau masalah korupsi kan bisa di pantau dari aset selama menjabat.
Insyaallah INDONESIA sehat bila seperti itu penerapan nya",
@sukadikadi6868,"Salut pada Prof Mahfud bagaimana mensyukuri nikmat yang diberikan Allah. Beliau pernah di Legislatif, eksekutif dan yudikatif  dengan gaji yang tinggi banyak godaan untuk korupsi tetapi beliau tidak tergoda. Bekal agama kuat, bekal ilmu banyak semoga pejabat lain dapat mencontohnya....",
@ir.asiloutomo2775,Prof idolaku.... Terus suarakan kebenaran hukum dan politik prof,
@zikoranggaulung6606,"Bapa saya sllu dukung bapa
Lagi pemilu juga saya pilih bapa

Terus pak jadi orng baik

walapun pilihan saya kalah saya Bangga pilih bapak 
Mahfud",
@aliyaangell_1326,Prof Mahfud..thank u utk mencerdaskan dan memberikan semangat utk menyelamatkan bangsa d negara,
@SamSung-mg9kt,Hadir pak,
@hendrays,Terima kasih Prof.,
@gandasimatupang1498,Tetap sehat selalu Prof. Mahmud,
@mymind6375,"Andai pak Mahfud pemilu kemarin nyalonin jd Capres, bkn cawapres. Dan gandeng org2 yg berani seperti pak Ahok. ( Jangan KDM , saya masih mau liat jabar istimewa ) .. Pasti saya pilih pak. Semoga sehat2 terus pak Mahfud, Indonesia butuh orang2 seperti anda",
@AntoYanto-u3c,Salam bpk mahfud,
@saifulwelder3780,"Assalamualaikum pak prof mahfud,,sem9ga pak mahfud slalu diberikan kesehatan oleh ALLAH SWT,,",
@iefaramadhan5901,"Prof. Mahfud.... Memang terbaik,... Memberikan pembelajaran mendalam terutama dalam menjalani kehidupan ini",
@Hern0_135cc,TABRAK Prof,
@RatnaKomalasari-x2h,"Hadir Prof Mahfud....sll menyimak ...prof Mahfud memang top markotop jujur,tegas dn berani",
@aryonoyono5768,Sehat Selalu Semuanya,
@Room.ngayal,"Terima kasih pak Mahmud MD, Sudah berbicara jujur, kami rakyat jadi tau kebenaran",
@ramadhanwahyu3816,Semoga Apa yg di ucapkan oleh Almarhum kyai Gus Dur terkait pembubaran DPR terkabul... Aminnn,
@lambeijo3693,"Alhamdulillah kita punya orang yang jujur dan berani seperti pak Mahfud MD ini,
Kita lihat masyarakat gaji cuma 3-5jt tapi Mash bisa hidup di negeri ini, .
Wajar saja jika masyarakat lihat DPR yg bukanya mewakili rakyat tapi malah hanya mewakili hidup nikmat, tapi ini semua ada andil dari rakyat juga, oleh karena itu jangan asal memilih DPR karena hanya dikasih duit harus dicek riwayat hidup caleg pilih yg palih baik supaya gak terjadi lagi yg seperti 3 periode terakhir.",
@novanoplekklewangvlog8761,"Pasal 1 (Ayat) 2 UUD 1945:

KEDAULATAN DI TANGAN RAKYAT

Tolak tunjangan DPR & Sahkan RUU Perampasan Asset/Hukuman Mati Koruptor!!!!",
@CecepMaulana-dz5cm,Ini ilmu  semua,
@MusafirHanbahallah,"DPR itu hanya mendengarkan perintah dari bosnya yaitu ketua partainya pantasan setiap tuntutan rakyat hanya di abaikan begitu saja, sekarang rakyat sudah pada paham bahwa DPR itu perwakilan dari partainya bukan untuk rakyat, contoh UUD perampasan aset sampai saat ini tidak pernah di sahkan oleh DPR karna itu akan menjadi bumerang buat merekah sendiri, ingat DPR lah yg selama ini menjadi penghalang pemberantasan korupsi di dalam negri dan DPR jugah yg menjadi sarang dari korupsi itu sendiri Makah rakyat bersatu untuk membubarkan dewan perwakilan partai",
@murtisidharta1039,"Mantap Prof atas ilmu nya dan Pencerahannya,,Terimakasih Prof..",
@TriTonnysatriyoYuwono,Mantap pak Mahfud MD,
@rapida10jawabarat,orang jujur  slalu mendapatkan keberkahan dalam hidupnya .aamiin,
@maximussanjaya1306,Joss prof mahfud,
@luwiwibowo8496,"Betul pa Mahfud, omon2 presiden bagus sekali, tapi pelaksanaannya belum bagus dan harus disegerakan, kalo tidak segera sangat bahaya, rakyat  kebanyakan dlm kondisi sangat terpuruk, sangat berat beban perekonomiannya, kalo kelamaan marah rakyat bahaya akan TDK bisa LG kebendung thdap pemerintah n BP. Presiden.!!!",
@erwinsyah8212,"1. Bila MEMBUBARKAN DPR, bisa dibentuk lembaga pengawas pemerintahan yg baru dengam nama yg baru. Atau...
2.Tetap memakai nama  DPR , Tapi Ganti seluruh anggota DPR yg digantikan oleh anak-anak bangsa yg terbaik yg BERAKHLAK DAN BERADAB, yg berintegritas dan sudah teruji secara nasional maupun internasional yg terdiri dari para Akademisi, professional terbaik, pakar-pakar ahli sesuai dengan kompetensinya, dsb.
️""MERDEKAA..!!"" 🇲🇨🇲🇨🇲🇨",
@IndahWasti,Pak Mahfud MD semoga sehat panjang umur.. selalu berbuat baik utk negri ini NKRI,
